node,x,y,rain_olf
264,473017.706845,6366588.97619,0.0
265,473041.634673,6366563.988095,0.0
266,472888.050223,6366681.089286,0.0
267,472912.184431,6366655.897321,0.0
268,472936.318638,6366630.705357,0.0
269,472960.452846,6366605.513393,0.0
270,472984.587054,6366580.321429,0.0
271,475921.637544,6369504.709079,0.0
272,475905.863963,6369402.668057,0.0
273,475886.758138,6369297.603199,0.0
274,476112.161447,6370389.276644,0.0
275,476122.541489,6370284.95903,0.0
276,476100.502523,6370174.849091,0.0
277,476071.289798,6370078.010634,0.0
278,476035.109792,6369984.614491,0.0
279,475998.266926,6369805.448591,0.0
280,476008.392449,6369541.756057,0.0
281,476023.377617,6369638.015575,0.0
282,476037.467524,6369725.14168,0.0
283,476058.959737,6369881.351272,0.0
284,476181.490207,6370551.739163,0.0
285,476265.714675,6370605.012389,0.0
286,476188.455457,6370457.832971,0.0
287,476351.294317,6370656.590078,0.0
288,475810.214214,6369123.484664,0.0
289,475889.683572,6369192.467709,0.0
290,475737.737203,6368697.954213,0.0
291,475749.209349,6368884.18278,0.0
292,475749.865799,6368789.586376,0.0
293,475817.973704,6369030.286117,0.0
294,475828.202022,6368934.491384,0.0
295,475808.353773,6368642.543933,0.0
296,475797.771988,6368547.019541,0.0
297,475785.287535,6368455.289072,0.0
298,475598.219771,6368304.091184,0.0
299,475553.125671,6368236.665685,0.0
300,475509.970006,6368160.701876,0.0
301,475689.679778,6368322.475191,0.0
302,475766.955273,6368363.393089,0.0
303,475272.068529,6368084.881887,0.0
304,475369.863854,6368084.820953,0.0
305,475466.106241,6368082.148096,0.0
306,475235.480528,6368002.62834,0.0
307,474179.284842,6367088.896552,0.0
308,474203.341595,6367063.362069,0.0
309,474227.398348,6367037.827586,0.0
310,474230.0,6366992.888889,0.0
311,474251.455101,6367012.293103,0.0
312,474256.219485,6366920.517647,0.0
313,474254.90625,6366966.5,0.0
314,474280.394853,6366894.976471,0.0
315,474260.697745,6366852.120775,0.0
316,473852.523158,6366744.982368,0.0
317,473941.585297,6366770.393138,0.0
318,474031.34721,6366794.299079,0.0
319,473591.99818,6366402.300415,0.0
320,473645.380407,6366475.797109,0.0
321,473696.474962,6366551.109707,0.0
322,473736.347752,6366632.075631,0.0
323,473823.543877,6366651.462328,0.0
324,474121.709124,6366817.295617,0.0
325,474229.505585,6366816.742308,0.0
326,476270.0,6385291.0,0.0
327,476432.90625,6385405.5,0.0
328,476712.779683,6387478.100313,0.0
329,476858.877663,6387249.705896,0.0
330,476808.996235,6386742.722897,0.0
331,476931.903558,6386958.92825,0.0
332,477461.522005,6391282.891043,0.0
333,477312.63729,6391619.809217,0.0
334,477223.713869,6391977.262906,0.0
335,477190.590945,6392653.150475,0.0
336,476603.21875,6393063.0,0.0
337,477057.28125,6387611.0,0.0
338,477038.46875,6387810.0,0.0
339,477003.53125,6388004.0,0.0
340,477155.63437,6388183.441738,0.0
341,477078.216681,6388550.603276,0.0
342,477128.976595,6388794.026008,0.0
343,477290.47878,6389131.37145,0.0
344,477247.645766,6389502.922571,0.0
345,477217.08695,6389857.280885,0.0
346,477467.224419,6390298.332596,0.0
347,477488.066877,6390807.139974,0.0
348,472841.109535,6366660.27595,0.0
349,472839.781808,6366731.473214,0.0
350,475636.149675,6369108.06902,0.0
351,475636.322759,6369300.950852,0.0
352,475636.680386,6369200.657533,0.0
353,475557.749686,6369343.586034,0.0
354,475492.727656,6369521.013959,0.0
355,475525.883194,6369427.425288,0.0
356,475554.026208,6369055.142768,0.0
357,474062.816544,6367124.847059,0.0
358,474038.641176,6367150.388235,0.0
359,474014.465809,6367175.929412,0.0
360,474130.375,6367098.444444,0.0
361,474105.46875,6367124.833333,0.0
362,474155.228089,6367114.431034,0.0
363,475471.412958,6369003.936076,0.0
364,475506.090104,6368860.07624,0.0
365,475487.666449,6368765.787734,0.0
366,475475.933261,6368674.000917,0.0
367,475453.597487,6368579.253661,0.0
368,475389.919514,6368498.482793,0.0
369,475442.904569,6368918.068827,0.0
370,475351.813683,6368412.656259,0.0
371,475310.287706,6368329.530151,0.0
372,475264.445721,6368247.583282,0.0
373,475218.309034,6368165.635049,0.0
374,475144.259166,6368000.07032,0.0
375,475172.741122,6368084.074174,0.0
376,475062.00887,6367984.981516,0.0
377,473990.290441,6367201.470588,0.0
378,473966.115074,6367227.011765,0.0
379,473969.07305,6367157.175907,0.0
380,473952.858865,6367110.815399,0.0
381,473865.499624,6367084.652127,0.0
382,473751.498786,6366971.957222,0.0
383,473776.875089,6367060.861739,0.0
384,473638.259494,6366864.759,0.0
385,473661.977716,6366950.704301,0.0
386,473546.491366,6366846.552546,0.0
387,473448.590395,6366801.951491,0.0
388,473350.236611,6366787.785739,0.0
389,473251.192096,6366770.37693,0.0
