node,x,y,concentration
151,472547.6704,6369942.606,0
152,472547.7317,6369947.302,0
153,472212.6935,6369130.452,0
154,472165.5196,6369368.255,0
155,472166.9331,6369322.215,0
156,472223.4617,6369176.775,0
157,472189.7341,6369207.239,0
158,472175.7421,6369282.184,0
159,472197.3744,6369244.651,0
160,472201.1939,6369400.735,0
161,472178.1251,6369539.194,0
162,472193.2311,6369490.949,0
163,472199.277,6369447.184,0
164,472192.3977,6369661.637,0
165,472195.7294,6369616.11,0
166,472201.9993,6369572.043,0
167,472503.8296,6369924.958,0
168,472512.102,6369916.157,0
169,472493.8901,6369926.113,0
170,472483.7807,6369935.508,0
171,472540.4303,6369917.844,0
172,472534.033,6369917.687,0
173,472537.2827,6369915.678,0
174,472529.6285,6369915.81,0
175,472521.0784,6369912.831,0
176,472547.4543,6369927.389,0
177,472549.3041,6369928.146,0
178,472545.1446,6369921.471,0
179,472543.4833,6369919.957,0
180,472543.4842,6369916.693,0
181,472547.5239,6369925.159,0
182,472546.7154,6369923.079,0
183,472550.751,6369929.524,0
184,472553.8006,6369931.281,0
185,472542.73,6369952.488,0
186,472531.7522,6369952.687,0
187,472536.5265,6369956.154,0
188,472522.5376,6369954.117,0
189,472511.1024,6369961.181,0
190,472556.447,6369935.008,0
191,472553.5128,6369937.106,0
192,472551.4832,6369939.588,0
193,472549.8652,6369951.486,0
194,472553.6509,6369946.919,0
195,472247.1006,6369094.008,0
196,472254.3818,6369142.016,0
197,472228.8206,6369695.871,0
198,472265.2434,6369730.105,0
199,472465.5693,6369918.391,0
200,472204.2248,6369353.493,0
201,472211.8143,6369310.258,0
202,472268.7215,6369183.632,0
203,472239.2192,6369221.508,0
204,472227.4762,6369269.399,0
205,472238.0276,6369385.095,0
206,472237.2515,6369434.116,0
207,472218.3641,6369522.634,0
208,472238.0118,6369479.156,0
209,472238.3628,6369559.624,0
210,472228.6853,6369643.903,0
211,472236.1979,6369600.762,0
212,472260.862,6369660.317,0
213,472502.1905,6369915.087,0
214,472510.4206,6369906.33,0
215,472486.2882,6369914.594,0
216,472539.4412,6369912.009,0
217,472534.7258,6369911.704,0
218,472530.1643,6369910.471,0
219,472522.3857,6369905.215,0
220,472543.8994,6369908.562,0
221,472545.3414,6369914.01,0
222,472550.2403,6369925.564,0
223,472548.3934,6369919.869,0
224,472550.5327,6369922.792,0
225,472553.3652,6369928.512,0
226,472557.3128,6369931.507,0
227,472547.2322,6369958.639,0
228,472540.8137,6369961.987,0
229,472528.5071,6369962.177,0
230,472520.2036,6369969.742,0
231,472560.4268,6369934.135,0
232,472556.9951,6369938.876,0
233,472557.8152,6369942.695,0
234,472554.6605,6369957.312,0
235,472559.6011,6369948.621,0
236,472281.0832,6369107.918,0
237,472281.5076,6369057.565,0
238,472301.2361,6369146.459,0
239,472280.3349,6369692.018,0
240,472310.5882,6369723.414,0
241,472301.6663,6369764.339,0
242,472470.0004,6369895.43,0
243,472447.3579,6369901.274,0
244,472246.8749,6369342.364,0
245,472257.4917,6369301.706,0
246,472314.8178,6369187.045,0
247,472289.5042,6369222.408,0
248,472270.1101,6369258.634,0
249,472280.8824,6369373.734,0
250,472270.2393,6369412.916,0
251,472282.4514,6369452.958,0
252,472260.1645,6369526.805,0
253,472278.8083,6369495.106,0
254,472276.7209,6369571.889,0
255,472272.9032,6369615.976,0
256,472300.5304,6369644.018,0
257,472515.8611,6369899.956,0
258,472500.7143,6369899.245,0
259,472485.143,6369899.064,0
260,472480.9993,6369882.962,0
261,472537.5583,6369904.52,0
262,472530.2995,6369901.886,0
263,472522.9515,6369895.49,0
264,472543.3323,6369902.457,0
265,472549.5347,6369908.518,0
266,472549.7779,6369915.423,0
267,472552.9814,6369925.735,0
268,472553.1557,6369918.628,0
269,472558.0389,6369926.451,0
270,472561.6323,6369929.547,0
271,472564.3822,6369935.113,0
272,472546.6708,6369966.241,0
273,472537.9072,6369972.147,0
274,472529.3071,6369978.289,0
275,472562.106,6369939.776,0
276,472565.6997,6369949.672,0
277,472560.398,6369962.213,0
278,472568.7943,6369958.371,0
279,472315.9146,6369021.121,0
280,472314.4653,6369095.118,0
281,472324.4857,6369060.909,0
282,472339.6733,6369121.358,0
283,472349.4185,6369157.936,0
284,472360.6028,6369192.823,0
285,472322.5389,6369679.027,0
286,472351.6491,6369712.014,0
287,472345.0155,6369756.158,0
288,472338.0892,6369798.573,0
289,472464.464,6369872.711,0
290,472429.1602,6369884.153,0
291,472374.5121,6369832.806,0
292,472410.935,6369867.04,0
293,472292.0212,6369334.285,0
294,472300.4375,6369293.5,1
295,472338.299,6369225.25,0
296,472319.0569,6369259.001,0
297,472315.8575,6369485.692,0
298,472323.7741,6369372.334,0
299,472310.5312,6369412.922,0
300,472332.5221,6369447.954,0
301,472303.3514,6369537.988,0
302,472313.2332,6369591.763,0
303,472338.0897,6369630.504,0
304,472339.803,6369516.959,0
305,472514.9298,6369889.962,0
306,472501.1305,6369884.357,0
307,472493.2487,6369871.72,0
308,472535.106,6369894.772,0
309,472528.5282,6369886.653,0
310,472546.628,6369897.286,0
311,472556.0167,6369898.809,0
312,472556.4418,6369908.311,0
313,472558.0617,6369919.017,0
314,472564.3557,6369922.753,0
315,472571.2686,6369935.696,0
316,472569.9062,6369928.921,0
317,472555.606,6369971.288,0
318,472548.9837,6369979.127,0
319,472538.4112,6369986.849,0
320,472573.2367,6369942.321,0
321,472576.3216,6369953.024,0
322,472568.7668,6369969.407,0
323,472577.9611,6369963.303,0
324,472388.3778,6369220.13,0
325,472350.3216,6368984.677,0
326,472355.265,6369038.59,0
327,472364.2334,6369084.707,0
328,472381.862,6369128.473,0
329,472380.4155,6369013.009,0
330,472399.0035,6369173.135,0
331,472362.7435,6369665.431,0
332,472390.6301,6369699.184,0
333,472386.0877,6369743.248,0
334,472381.3748,6369788.321,0
335,472483.0484,6369845.086,0
336,472444.0521,6369846.407,0
337,472418.6482,6369816.791,0
338,472499.2454,6369831.652,0
339,472335.7961,6369331.749,0
340,472349.7359,6369293.995,0
341,472369.1588,6369258.265,0
342,472362.2722,6369482.867,0
343,472367.1314,6369369.341,0
344,472355.7228,6369408.641,0
345,472378.922,6369444.615,0
346,472344.8636,6369555.927,0
347,472357.2248,6369590.818,0
348,472381.002,6369619.425,0
349,472381.731,6369526.585,0
350,472517.7524,6369871.962,0
351,472505.7004,6369851.681,0
352,472542.966,6369886.409,0
353,472534.8276,6369878.316,0
354,472556.4219,6369887.934,0
355,472565.4093,6369900.308,0
356,472566.3084,6369912.294,0
357,472384.7286,6368948.234,0
358,472578.8968,6369937.035,0
359,472574.4727,6369919.23,0
360,472582.1151,6369929.991,0
361,472564.3338,6369985.377,0
362,472556.6265,6370003.976,0
363,472587.3931,6369951.806,0
364,472583.9896,6369971.789,0
365,472415.3954,6369254.093,0
366,472429.6421,6369210.943,0
367,472402.1137,6368981.968,0
368,472422.6459,6369135.338,0
369,472397.8983,6369054.333,0
370,472410.6616,6369093.103,0
371,472421.6277,6369019.002,0
372,472446.1275,6369174.391,0
373,472462.7799,6369137.355,0
374,472402.5922,6369652.091,0
375,472427.274,6369684.205,0
376,472427.8704,6369726.935,0
377,472422.1052,6369769.282,0
378,472522.1265,6369835.332,0
379,472471.9327,6369815.203,0
380,472457.2338,6369786.909,0
381,472505.1276,6369811.448,0
382,472382.3472,6369329.085,0
383,472399.8449,6369294.565,0
384,472408.4258,6369363.294,0
385,472405.264,6369487.6,0
386,472404.2555,6369406.235,0
387,472420.5348,6369449.19,0
388,472395.544,6369567.782,0
389,472420.1843,6369606.349,0
390,472426.0703,6369525.374,0
391,472443.1233,6369288.912,0
392,472533.6128,6369855.461,0
393,472539.3261,6369838.859,0
394,472551.6977,6369869.489,0
395,472569.9081,6369889.162,0
396,472579.2841,6369905.294,0
397,472426.3879,6368947.039,0
398,472419.1356,6368911.79,0
399,472592.5453,6369939.013,0
400,472592.7931,6369923.975,0
401,472600.8994,6369949.811,0
402,472580.7928,6369996.584,0
403,472574.838,6370021.093,0
404,472601.1387,6369967.49,0
405,472596.1384,6369983.895,0
406,472613.5636,6369954.912,0
407,472458.6203,6369243.499,0
408,472478.2619,6369206.114,0
409,472446.5328,6368976.621,0
