Index,Box,Regional
880,9311,2147
881,9328,1834
882,9331,1927
883,9368,8002
884,9378,5585
885,9385,6014
886,9393,7273
887,9399,3336
888,9405,2573
889,9407,2247
890,9409,3757
891,9459,5383
892,9485,3595
893,9488,3995
894,9497,3188
895,9500,2809
896,9503,3189
897,9507,2811
898,9513,498
899,9518,376
900,9522,1119
901,9527,843
902,9532,1718
903,9533,2036
904,9545,2033
905,9556,2021
906,9558,2331
907,9564,2015
908,9579,2451
909,9582,2145
910,9584,2459
911,9586,2460
912,9589,1833
913,9594,1013
914,9596,1604
915,9598,1306
916,9615,8360
917,9630,5137
918,9635,5140
919,9637,6872
920,9640,6455
921,9644,5584
922,9652,4669
923,9657,2936
924,9658,3337
925,9667,4208
926,9687,4446
927,9744,3191
928,9745,3195
929,9750,3194
930,9769,2458
931,9770,495
932,9771,738
933,9776,588
934,9788,2035
935,9793,1118
936,9796,1414
937,9797,2034
938,9800,1832
939,9803,1831
940,9804,1716
941,9810,2336
942,9812,2335
943,9817,2020
944,9819,2016
945,9821,2017
946,9825,1830
947,9829,1691
948,9831,2134
949,9834,2144
950,9836,2146
951,9849,1818
952,9852,1522
953,9854,2243
954,9856,1924
955,9859,1301
956,9860,1601
957,9867,8366
958,9892,5136
959,9896,5139
960,9899,6442
961,9902,6013
962,9914,4667
963,9920,2932
964,9922,2569
965,9923,3754
966,9955,4919
967,9995,3190
968,9997,2803
969,10001,3193
970,10002,3596
971,10006,3548
972,10008,2799
973,10010,2808
974,10011,2800
975,10013,2807
976,10022,733
977,10024,1008
978,10026,374
979,10030,838
980,10033,587
981,10039,1715
982,10052,1712
983,10061,1697
984,10068,2014
985,10076,1817
986,10082,2133
987,10084,1828
988,10085,2143
989,10087,2142
990,10090,1521
991,10135,4668
992,10138,4670
993,10143,6874
994,10148,5581
995,10150,7275
996,10156,4207
997,10161,3333
998,10168,3755
999,10187,4447
1000,10244,3992
1001,10257,2141
1002,10260,2457
1003,10262,496
1004,10267,375
1005,10276,837
1006,10279,1714
1007,10282,1116
1008,10283,1412
1009,10285,1713
1010,10290,1520
1011,10292,1519
1012,10294,1413
1013,10297,2019
1014,10300,2018
1015,10304,1696
1016,10305,1692
1017,10307,1694
1018,10312,1518
1019,10314,1689
1020,10319,1829
1021,10329,1827
1022,10332,1507
1023,10334,1508
1024,10336,1228
1025,10338,1009
1026,10340,2244
1027,10342,1925
1028,10344,1602
1029,10346,1302
1030,10374,7650
1031,10377,4666
1032,10381,5135
1033,10383,6440
1034,10386,5996
1035,10390,7274
1036,10393,6873
1037,10396,4205
1038,10398,4206
1039,10399,3334
1040,10401,2933
1041,10404,2570
1042,10406,3753
1043,10440,5382
1044,10472,2801
1045,10475,2802
1046,10479,3192
1047,10484,2455
1048,10486,2456
1049,10490,2454
1050,10497,1824
1051,10499,734
1052,10504,306
1053,10509,583
1054,10511,373
1055,10534,1408
1056,10542,1392
1057,10549,1690
1058,10554,1815
1059,10559,1816
1060,10562,1826
1061,10563,1825
1062,10569,1227
1063,10599,8361
1064,10602,8362
1065,10608,8004
1066,10616,4665
1067,10624,5566
1068,10626,6875
1069,10627,6441
1070,10639,2571
1071,10640,3335
1072,10644,4915
1073,10702,2450
1074,10714,3543
1075,10719,2136
1076,10725,2138
1077,10727,497
1078,10729,735
1079,10731,303
1080,10740,582
1081,10742,836
1082,10743,1411
1083,10746,1114
1084,10748,1410
1085,10750,1409
1086,10754,1226
1087,10757,1225
1088,10759,1115
1089,10762,1695
1090,10769,1391
1091,10770,1388
1092,10773,1389
1093,10776,1384
1094,10782,1517
1095,10790,1504
1096,10792,1516
1097,10795,1216
1098,10797,1215
1099,10799,939
1100,10801,1010
1101,10803,2245
1102,10805,1926
1103,10807,1603
1104,10809,1303
1105,10835,7652
1106,10836,7276
1107,10839,4204
1108,10842,5114
1109,10846,5997
1110,10852,6447
1111,10855,3752
1112,10858,2934
1113,10863,3751
1114,10874,3545
